,DriverID,RideID,Location,Time,Date,ChargeKwhNeeded
112,2776,1424669,30.264 -97.733,14:59:19,2017-04-05,6.4733323786177275
113,2776,1425393,30.264 -97.771,17:40:47,2017-04-05,6.4733323786177275
114,2144,1422654,30.277 -97.845,02:39:59,2017-04-05,5.5127600896680615
115,2144,1425576,30.291 -97.827,18:14:33,2017-04-05,5.5127600896680615
116,1464,1422074,30.224 -97.767,00:41:25,2017-04-05,1.6366940915068384
117,1464,1422317,30.295 -97.784,01:32:29,2017-04-05,1.6366940915068384
118,1464,1425655,30.207 -97.756,18:39:35,2017-04-05,1.6366940915068384
119,1464,1426352,30.269 -97.737,21:26:12,2017-04-05,1.6366940915068384
120,1464,1426803,30.335 -97.807,22:57:06,2017-04-05,1.6366940915068384
121,4775,1422360,30.325 -98.029,02:04:45,2017-04-05,2.706255484491525
122,4775,1423862,30.203 -97.668,11:11:47,2017-04-05,2.706255484491525
123,3359,1422084,30.487 -97.77,00:39:10,2017-04-05,6.412313011116804
124,3359,1425447,30.388 -97.737,17:53:20,2017-04-05,6.412313011116804
125,2722,1422088,30.267 -97.739,00:43:51,2017-04-05,1.6182086359454393
126,1856,1422388,30.242 -97.775,01:44:50,2017-04-05,1.6182086359454393
127,2722,1423911,30.211 -97.753,11:37:17,2017-04-05,1.6182086359454393
128,2722,1424899,30.203 -97.667,15:46:58,2017-04-05,1.6182086359454393
129,2771,1422108,30.241 -97.778,00:53:30,2017-04-05,4.511436687605629
130,3143,1422109,30.265 -97.742,00:55:36,2017-04-05,3.7272419901838445
131,3143,1422627,30.291 -97.725,02:42:14,2017-04-05,3.7272419901838445
132,3143,1423161,30.26 -97.725,04:28:16,2017-04-05,3.7272419901838445
133,4589,1422115,30.415 -97.745,01:02:33,2017-04-05,2.3946786607226302
134,4589,1422715,30.444 -97.63,02:51:32,2017-04-05,2.3946786607226302
135,4589,1422944,30.442 -97.669,03:27:31,2017-04-05,2.3946786607226302
136,4847,1423099,30.266 -97.747,04:07:40,2017-04-05,16.87135970287123
137,4847,1424103,30.351 -97.749,13:02:56,2017-04-05,16.87135970287123
138,4762,1423047,30.274 -97.76,03:53:33,2017-04-05,4.45155843474866
139,2937,1422341,30.278 -97.785,01:36:57,2017-04-05,3.9118168639475197
140,2937,1424759,30.281 -97.745,15:07:04,2017-04-05,3.9118168639475197
141,2937,1426630,30.264 -97.743,22:17:02,2017-04-05,3.9118168639475197
142,475,1422228,30.27 -97.802,01:12:25,2017-04-05,3.4719664816505604
143,475,1425802,30.264 -97.743,19:30:07,2017-04-05,3.4719664816505604
144,475,1426541,30.306 -97.749,21:53:21,2017-04-05,3.4719664816505604
145,4642,1422241,30.283 -97.744,01:12:26,2017-04-05,1.313309002433127
146,4642,1424300,30.219 -97.751,13:53:28,2017-04-05,1.313309002433127
